Date,Data collector,treatment,Plot ID,Column,Row,Species ID,region,Province Info,Mortality Status,Height(cm),Width1 (cm) (widest diameter),Width2 (cm) (perpendicular to W1 measurement),Canopy (avg),Area (m2),biomass_kg/m2,,,,Height (in,Width1 (in),Width2 (in),,,,,,,,,,,
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,1,BAPI,central ,,A,121.92,109.22,109.22,1.0922,0.936427159,2.055045587,,,,48,43,43,,,,,,,,43,121.92,109.22,109.22
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,2,LYCA,south,,A,33.02,27.94,17.78,0.2286,0.041022499,0.024382132,,,,13,11,7,,,,,,,,7,33.02,27.94,17.78
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,3,GRCA,central ,,A,93.98,167.64,172.72,1.7018,2.273456743,3.845870365,,,,37,66,68,,,,,,,,68,93.98,167.64,172.72
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,4,STPU,central ,SB,A,30.48,33.02,17.78,0.254,0.05064506,0.027785906,,,,12,13,7,,,,,,,,7,30.48,33.02,17.78
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,5,STPU,central ,IRV,A,15.24,17.78,7.62,0.127,0.012661265,0.003473238,,,,6,7,3,,,,,,,,3,15.24,17.78,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,6,ARCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,7,EUMI,central ,,A,33.02,12.7,10.16,0.1143,0.010255625,0.006095533,,,,13,5,4,,,,,,,,4,33.02,12.7,10.16
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,8,LYCA,south,,A,38.1,22.86,20.32,0.2159,0.036591056,0.025094146,,,,15,9,8,,,,,,,,8,38.1,22.86,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,A,9,BAPI,central ,,A,132.08,154.94,167.64,1.6129,2.042135432,4.855054461,,,,52,61,66,,,,,,,,66,132.08,154.94,167.64
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,1,STPU,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,2,STPU,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,3,GRCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,4,STPU,central,SD,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,5,ATLE,central,,A,35.56,55.88,43.18,0.4953,0.192577841,0.123265224,,,,14,22,17,,,,,,,,17,35.56,55.88,43.18
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,6,ATLE,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,7,BRCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,8,SAME,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,B,9,ISME,central,,A,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,1,ISME,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,2,SPAM,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,3,BOBA,central ,,A,38.1,15.24,6.35,0.10795,0.009147764,0.006273537,,,,15,6,2.5,,,,,,,,2.5,38.1,15.24,6.35
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,4,ENCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,5,ENCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,6,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,7,COFI,central ,,A,10.16,30.48,5.08,0.1778,0.024816079,0.004538365,,,,4,12,2,,,,,,,,2,10.16,30.48,5.08
