Date,Data collector,treatment,Plot ID,Column,Row,Species ID,region,Province Info,Mortality Status,Height(cm),Width1 (cm) (widest diameter),Width2 (cm) (perpendicular to W1 measurement),Canopy (avg),Area (m2),biomass_kg/m2,Notes,mort_status,,,southern species,code,Scientific Name,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,1,BAPI,central ,,A,35,29,16,0.225,0.0398,0.0250,,1,Date,,,ACGL,Acmispon glaber,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,2,LYCA,south,,A,29,23,16,0.195,0.0299,0.0156,,1,2/15/2024,,,AGSH,Agave shawii,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,3,GRCA,central ,,A,15,23,17.5,0.2025,0.0322,0.0087,,1,6/27/2024,,,AMFR,Amorpha fruticosa,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,4,STPU,central ,SB,A,22,24,17,0.205,0.0330,0.0131,,1,12/10/2024,,,ARCA,Artemisia californica,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,5,STPU,central ,IRV,A,13,24,17,0.205,0.0330,0.0077,,1,5/28/2025,,,ATLE,Atriplex lentiformis,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,6,ARCA,central ,,A,13,10,9.5,0.0975,0.0075,0.0017,,1,12/10/2025,,,BAPI,Baccharis pilularis,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,7,EUMI,central ,,A,34,25.5,11,0.1825,0.0262,0.0160,,1,6/29/2026,,,BEEM,Bergerocactus emoryi,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,8,LYCA,south,,A,30,33,12.5,0.2275,0.0406,0.0219,,1,1/0/1900,,,BOBA,Bothriochloa barbinodis,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,9,BAPI,central ,,A,53.5,21,14,0.175,0.0241,0.0232,,1,,,,BRCA,Brickellia californica,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,1,PEAR,south,,A,50,25,8,0.165,0.0214,0.0192,,1,,,,CAMA,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,,
